ABBR,STATE,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AL,Alabama,23890,26840,25530,29120,29600,29310,31740,33590,33790,34460,34180,35610,36860,38150,40350,39420,38260,38600,39760,41560
AK,Alaska,3030,3380,3390,3210,3270,3500,3950,3930,3850,4320,4630,4980,5120,5250,5240,5030,5210,5050,5450,5280
AZ,Arizona,39640,51830,50090,45630,44630,47510,49410,51500,56630,57490,57820,60090,66420,70950,76040,82500,88800,93410,93490,94060
AR,Arkansas,7430,8840,10280,13530,13080,13270,13940,14430,16910,19480,21020,19560,19380,19100,20410,21420,22930,23700,23850,23160
CA,California,355780,428800,384810,366250,386420,382290,384580,391960,394840,412680,415200,420630,447600,471890,486470,514330,548800,580040,590550,616270
CO,Colorado,75850,93030,84540,75940,75260,76390,74550,77980,81700,86370,88120,86510,88030,90870,91820,96120,97840,104170,109450,116930
CT,Connecticut,44830,45650,45120,42030,43480,46290,47810,46360,47330,46410,43930,42420,41910,44480,44920,46180,46970,49220,49630,48420
DE,Delaware,10250,11230,10700,10010,9480,10570,10380,12560,12630,12400,11790,12080,12710,13690,12850,13570,15030,16200,17560,17120
DC,District of Columbia,24650,22600,24030,26130,28730,29840,32050,33710,34320,34200,33450,33180,33470,34280,35000,37270,39020,41390,42910,42120
FL,Florida,112920,132380,127790,127820,134370,144050,146410,149660,148310,155740,154030,154080,155170,161070,164480,172340,184270,193670,198940,206930
GA,Georgia,83370,96520,88300,92630,97970,97040,93520,92900,89910,95080,95170,97140,99790,103780,114220,121210,129850,138140,140520,148690
HI,Hawaii,5870,6340,6590,6610,7170,7850,8120,8500,8190,8310,8020,8390,9030,9330,9460,8980,9170,9300,9960,10030
ID,Idaho,8150,9340,9060,9650,9020,9770,10240,10760,11470,12160,13050,13640,13430,11630,11520,12190,13620,14050,14110,14610
IL,Illinois,129200,136190,132160,122930,124450,132780,133250,136450,142820,144720,142290,127260,128460,145460,156770,166350,169580,177360,172680,177530
IN,Indiana,35590,34710,34610,37810,37030,38880,37200,38660,41600,45020,45890,46930,47210,47610,49530,51590,52500,56060,57410,59060
IA,Iowa,21140,22710,21960,20790,21710,23760,23550,26130,27660,28370,27190,26800,28520,30460,31650,31510,31380,32810,35150,36530
KS,Kansas,25630,26770,27170,27180,27080,27030,26780,24870,26760,29090,30370,27620,28500,28970,30140,32240,35390,36910,35900,34560
KY,Kentucky,19190,20590,24020,23770,24500,24490,23760,23970,26890,28440,27450,26740,28170,28210,28930,30090,30700,30240,31120,32450
LA,Louisiana,13370,15990,16750,16480,17480,18960,19240,17590,16390,17100,16960,18060,18020,19920,19410,20400,20520,20860,20000,20480
ME,Maine,6440,8460,7360,7420,7050,7240,7610,8010,8070,8390,9020,9060,8520,9080,9620,10260,10870,11620,11370,12270
MD,Maryland,74350,79060,85000,90000,92310,97700,94320,96090,95160,97030,98460,100170,104620,108250,114480,117040,120360,123660,124630,128230
MA,Massachusetts,105650,120030,110310,103340,104540,106690,110190,113890,116270,121680,122810,125010,130110,138710,134530,134620,134790,142740,142010,141450
MI,Michigan,80140,82020,80120,77560,76490,80730,86990,94090,93350,92520,83170,81030,84210,93830,98570,101050,102330,104780,111400,112890
MN,Minnesota,70360,71220,68990,69140,68100,70250,69540,74630,77660,81800,82290,80690,81240,83090,84520,91560,94470,97680,94290,96020
MS,Mississippi,8330,8230,8820,8450,9120,9060,9250,8960,9460,10010,9670,8560,8800,9730,10490,10610,10630,11300,11810,12380
MO,Missouri,46690,55540,51320,54050,55980,57920,58150,62880,62860,68170,67760,70530,73210,76620,74310,74590,77310,82100,84520,88360
MT,Montana,3440,4320,4300,4700,4830,4810,5040,6000,5470,5640,5820,6110,6470,6460,6950,7310,7850,7250,8150,8660
NE,Nebraska,19730,20770,21140,20280,19520,20220,20250,21240,21290,20980,20440,22000,23550,24850,25610,25100,26770,28000,30240,30550
NV,Nevada,9240,10990,11260,10150,10580,11740,11460,13260,13210,14110,14170,14100,14920,14990,15750,16140,17100,18050,19410,20150
NH,New Hampshire,12820,13220,12020,11800,12080,13380,15610,16620,17070,17910,19220,17980,17670,17570,17370,17520,18380,18510,19140,21660
NJ,New Jersey,107870,108000,117790,115990,116940,117780,117820,119890,125620,135050,135520,130650,126930,124780,128820,134440,136570,140840,139640,144240
NM,New Mexico,15050,17250,13050,12290,12470,12410,11150,11790,12060,12510,13810,13480,14200,14440,13990,14890,14760,15350,14750,15520
NY,New York,164220,179560,174660,169750,176500,174460,185330,193190,208970,209490,202670,202690,208670,216150,217620,223570,239300,245150,259090,264620
NC,North Carolina,75200,77950,75510,75140,74760,79210,78020,82190,84800,91000,94810,93110,95130,102330,106570,111160,116390,125030,129080,135130
ND,North Dakota,3370,3850,4610,4030,4460,4380,4800,4760,5110,4900,5150,6290,6580,7000,6010,6380,6460,7340,7420,8050
OH,Ohio,100020,95820,93670,94370,95090,96370,100340,104110,115260,120180,123580,119540,125100,128740,130630,129120,136170,140110,148050,150790
OK,Oklahoma,17360,20570,22800,22110,21560,22360,22850,26760,28420,26620,24300,22180,22570,23650,25380,27740,29660,30210,31440,30540
OR,Oregon,29050,34670,34180,32630,32990,33710,33540,35180,36280,38080,36820,36810,39050,41610,43710,45460,48740,50900,53060,53550
PA,Pennsylvania,94730,105950,104160,103960,105530,106630,107580,114090,119900,123330,123240,120720,125150,132810,138640,143230,149780,154710,158660,158420
RI,Rhode Island,6880,9330,9510,9300,10360,11050,9750,9770,10220,10270,10170,10700,11390,12150,12820,13420,13890,14270,14490,13680
SC,South Carolina,20080,20440,19570,19970,20480,21880,22600,24280,26130,28920,26700,26430,29030,30040,32170,34270,36240,37660,39530,39740
SD,South Dakota,3160,6030,5160,5110,5100,5230,4800,5290,6170,6250,5900,5670,6130,6200,6610,6830,7220,7830,8040,8160
TN,Tennessee,28190,34950,33550,36000,36920,38290,38100,38100,39680,39620,38970,39660,43470,43550,46120,46550,48110,51340,54730,56460
TX,Texas,222820,230190,215530,209500,201480,215690,213500,231420,253170,266100,265030,263130,273170,292370,310440,332970,353760,350160,353460,364120
UT,Utah,20790,33000,28680,25210,25950,25990,27530,30680,31990,33040,32190,32100,32410,34700,35940,38440,40500,44830,48640,52430
VT,Vermont,4220,4140,5420,5220,5270,6300,6200,6100,5750,5620,5990,6560,6840,6790,6350,6560,6800,7060,7280,7280
VA,Virginia,107980,139880,143470,139860,145540,157510,166640,176240,178180,178720,181120,181260,190030,199040,198700,195470,195140,198560,201680,206750
WA,Washington,77320,92370,83650,83870,84240,85630,88480,93500,102970,106950,111960,108130,119420,131130,140120,136530,143270,148670,157400,164830
WV,West Virginia,6130,6060,6500,7280,7650,7310,6780,7330,7040,7490,7620,8350,9410,9820,9220,9830,9740,10650,10880,11010
WI,Wisconsin,36570,43320,45010,44760,46520,48020,46120,48250,49750,51820,52570,57310,58600,60030,62150,66030,69390,74950,76080,77540
WY,Wyoming,2080,1910,1890,1860,1870,1780,1930,2070,2040,2210,2200,2210,2290,2620,2750,2730,2650,2650,2660,3030
GU,Guam,290,260,310,380,320,320,320,360,360,460,480,620,670,630,590,570,510,510,580,600
PR,Puerto Rico,6070,6090,6240,6950,6860,7730,8220,9420,9190,9090,8720,9360,9240,9560,9310,9170,9430,10390,10660,11070
VI,Virgin Islands,,180,210,230,220,290,330,340,330,340,360,370,390,390,380,370,370,350,350,320